,id,model,grid_num,reward,best_reward
892,27,pressure,1,0,1
893,27,pressure,2,0,0
894,27,pressure,3,-2,1
895,27,pressure,4,2,2
896,27,pressure,5,2,2
897,27,pressure,6,-1,-1
898,27,pressure,7,-2,-2
899,27,pressure,8,2,2
900,27,pressure,9,0,0
901,27,pressure,10,-1,-1
902,27,pressure,11,2,2
903,27,pressure,12,-2,-1
904,27,pressure,13,1,1
905,27,pressure,14,-2,-1
906,27,pressure,15,-1,1
907,27,pressure,16,0,2
908,27,pressure,17,1,1
909,27,pressure,18,-1,-1
910,27,pressure,19,1,1
911,27,pressure,20,1,1
912,27,pressure,21,0,0
913,27,pressure,22,0,0
914,27,pressure,23,1,1
915,27,pressure,24,0,0
916,27,pressure,25,0,0
917,27,pressure,26,2,2
918,27,pressure,27,-1,-1
919,27,pressure,28,2,2
920,27,pressure,29,0,0
921,27,pressure,30,0,0
922,27,pressure,31,0,0
923,27,pressure,32,0,0
924,28,pressure,0,-1,-1
925,28,pressure,1,0,1
926,28,pressure,2,0,0
927,28,pressure,3,-2,1
928,28,pressure,4,2,2
929,28,pressure,5,2,2
930,28,pressure,6,-1,-1
931,28,pressure,7,-2,-2
932,28,pressure,8,2,2
933,28,pressure,9,0,0
934,28,pressure,10,-1,-1
935,28,pressure,11,2,2
936,28,pressure,12,-2,-1
937,28,pressure,13,1,1
938,28,pressure,14,-2,-1
939,28,pressure,15,1,1
940,28,pressure,16,0,2
941,28,pressure,17,0,1
942,28,pressure,18,-1,-1
943,28,pressure,19,1,1
944,28,pressure,20,1,1
945,28,pressure,21,0,0
946,28,pressure,22,0,0
947,28,pressure,23,1,1
948,28,pressure,24,0,0
949,28,pressure,25,-1,0
950,28,pressure,26,2,2
951,28,pressure,27,-1,-1
952,28,pressure,28,2,2
953,28,pressure,29,0,0
